
 ___________
\___________/
     ___________      ______
    \___________/     | ___ \
 ___________          | |_/ /__ _ __ ___  ___  ___
\___________/         |  __/ _ \ '__/ __|/ _ \/ __|
 ___                  | | |  __/ |  \__ \  __/\__ \
\___/                 \_|  \___|_|  |___/\___||___/  0.53.1
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Chip_Chip_js-node_modules_mui_material_Divider_Divider_js-n-14f190.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_FormControlLabel_FormControlLabel_js-node_modules_mui_mater-4160e4.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Button_Button_js-node_modules_mdi-material-ui_util_createIcon_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Stack_Stack_js-node_modules_mui_utils_esm_generateUtilityCl-61a4e3.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Checkbox_Checkbox_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Table_Table_js-node_modules_mui_material_TableBody_TableBod-66fdd9.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_react_jsx-dev-runtime_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/src_components_ColumnsEditor_tsx-src_components_StatusBadge_tsx-src_model_index_ts.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_InputAdornment_InputAdornment_js-node_modules_mui_material_-f08aa7.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/__federation_expose_SilenceTable.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/__federation_expose_PrometheusPromQLVariable.c52e7d2f.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/ClickHouse/__mf/js/async/9754.9efd83f1.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/ClickHouse/__mf/js/async/6045.424732f1.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/ClickHouse/__mf/js/async/1825.3b06cbc6.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/ClickHouse/__mf/js/async/__federation_expose_ClickHouseTimeSeriesQuery.ca467582.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_ButtonBase_ButtonBase_js.js.map
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_emotion_cache_dist_emotion-cache_browser_development_esm_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_emotion_serialize_dist_emotion-serialize_development_esm_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Stack_Stack_js-node_modules_mui_utils_esm_generateUtilityCl-61a4e3.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_react_jsx-dev-runtime_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/__federation_expose_AlertManagerAlertsExplorer.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/5922.d1619ac1.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/9836.00da6086.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/2186.e58838a5.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/3184.6b4ad42e.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/__federation_expose_PrometheusExplorer.f4a5fd3b.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_emotion_cache_dist_emotion-cache_browser_development_esm_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/9605.a92ec9c1.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_TextField_TextField_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_emotion_serialize_dist_emotion-serialize_development_esm_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Paper_Paper_js-node_modules_mui_material_utils_createSimple-dd7695.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_ButtonBase_ButtonBase_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_IconButton_IconButton_js-node_modules_mui_material_MenuItem-bee8bd.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Stack_Stack_js-node_modules_mui_utils_esm_generateUtilityCl-61a4e3.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Button_Button_js-node_modules_mdi-material-ui_util_createIcon_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Dialog_Dialog_js-node_modules_mui_material_DialogActions_Di-b991ec.js
